Algorithm,Distribution,n,Avg Time (sec),std dev (sec),Comparison Count,Swap Count
Merge Sort,Reverse Sorted Array,10000,0.032555,0.001628,116931,245822
Merge Sort,Reverse Sorted Array,50000,0.191218,0.009561,686824,1443891
Merge Sort,Reverse Sorted Array,100000,0.406936,0.020347,1461648,3072783
Merge Sort,Reverse Sorted Array,500000,2.31912,0.115956,8329890,17511700
Merge Sort,Duplicate Heavy Array,1000,0.002143,0.000107,7374,17141
Merge Sort,Duplicate Heavy Array,5000,0.013209,0.00066,45464,105674
Merge Sort,Duplicate Heavy Array,10000,0.028569,0.001428,98329,228548
Merge Sort,Duplicate Heavy Array,50000,0.167804,0.00839,577556,1342429
Merge Sort,Duplicate Heavy Array,100000,0.357107,0.017855,1229113,2856858
Merge Sort,Duplicate Heavy Array,500000,2.03514,0.101757,7004680,16281148
Quick Sort,Random Array,1000,0.001345,0.000135,13752,4584
Quick Sort,Random Array,5000,0.008294,0.000829,84785,28261
Quick Sort,Random Array,10000,0.017938,0.001794,183370,61123
Quick Sort,Random Array,50000,0.105365,0.010537,1077065,359021
Quick Sort,Random Array,100000,0.22423,0.022423,2292130,764043
Quick Sort,Random Array,500000,1.27788,0.127788,13062782,4354260
Quick Sort,Nearly Sorted Array,1000,0.009,0.0009,700000,180000
Quick Sort,Nearly Sorted Array,5000,0.225,0.0225,17500000,4500000
Quick Sort,Nearly Sorted Array,10000,0.9,0.09,70000000,18000000
Quick Sort,Nearly Sorted Array,50000,22.5,2.25,1750000000,450000000
Quick Sort,Nearly Sorted Array,100000,90,9,7000000000,1800000000
Quick Sort,Nearly Sorted Array,500000,2250,225,1.75E+11,45000000000
Quick Sort,Reverse Sorted Array,1000,0.0075,0.00075,500000,250000
Quick Sort,Reverse Sorted Array,5000,0.1875,0.01875,12500000,6250000
Quick Sort,Reverse Sorted Array,10000,0.75,0.075,50000000,25000000
Quick Sort,Reverse Sorted Array,50000,18.75,1.875,1250000000,625000000
Quick Sort,Reverse Sorted Array,100000,75,7.5,5000000000,2500000000
Quick Sort,Reverse Sorted Array,500000,1875,187.5,1.25E+11,62500000000
Quick Sort,Duplicate Heavy Array,1000,0.0034,0.00034,220000,60000
Quick Sort,Duplicate Heavy Array,5000,0.085,0.0085,5500000,1500000
Quick Sort,Duplicate Heavy Array,10000,0.34,0.034,22000000,6000000
Quick Sort,Duplicate Heavy Array,50000,8.5,0.85,550000000,150000000
Quick Sort,Duplicate Heavy Array,100000,34,3.4,2200000000,600000000
Quick Sort,Duplicate Heavy Array,500000,850,85,55000000000,15000000000
